symbol,date,previous_close,open,type,target_price,stop_loss_price,result
TECHM,2018-01-01,504.05,501.1,loser,498.59450000000004,513.1264,square_offs
COALINDIA,2018-01-02,266.65,268,gainer,269.34,261.568,success
SUNPHARMA,2018-01-02,574.05,577,gainer,579.885,563.152,success
BPCL,2018-01-02,508.6,511.3,gainer,513.8565,499.0288,failure
POWERGRID,2018-01-02,200.2,201.25,gainer,202.25624999999997,196.42,square_offs
TCS,2018-01-02,1322.8,1330,gainer,1336.6499999999999,1298.08,square_offs
IBULHSGFIN,2018-01-02,1218.15,1211,loser,1204.945,1240.064,success
LUPIN,2018-01-02,883.25,887.9,gainer,892.3394999999999,866.5903999999999,square_offs
BAJAJFINSV,2018-01-02,5171.85,5199.9,gainer,5225.8994999999995,5075.1024,failure
ASIANPAINT,2018-01-03,1142.75,1149,gainer,1154.745,1121.424,square_offs
BHARTIARTL,2018-01-03,516.55,519.15,gainer,521.7457499999999,506.69039999999995,success
CIPLA,2018-01-03,607.8,611,gainer,614.055,596.336,square_offs
WIPRO,2018-01-03,318.7,320.4,gainer,322.00199999999995,312.7104,failure
HINDALCO,2018-01-03,271.9,273.4,gainer,274.76699999999994,266.8384,success
SBIN,2018-01-04,302.85,304.5,gainer,306.0225,297.192,success
SUNPHARMA,2018-01-04,569.05,572,gainer,574.8599999999999,558.2719999999999,success
UPL,2018-01-04,775.8,779.9,gainer,783.7994999999999,761.1823999999999,success
BAJFINANCE,2018-01-04,1715.3,1725,gainer,1733.6249999999998,1683.6,success
ASIANPAINT,2018-01-05,1172.05,1178,gainer,1183.8899999999999,1149.728,success
ADANIPORTS,2018-01-05,409.85,411.9,gainer,413.95949999999993,402.01439999999997,success
GRASIM,2018-01-05,1170.3,1176.7,gainer,1182.5835,1148.4592,success
HEROMOTOCO,2018-01-05,3738.9,3758.7,gainer,3777.4934999999996,3668.4912,square_offs
HCLTECH,2018-01-05,893.1,888.25,loser,883.80875,909.568,success
IBULHSGFIN,2018-01-05,1183.95,1189.95,gainer,1195.8997499999998,1161.3912,success
UPL,2018-01-05,781.65,785.6,gainer,789.5279999999999,766.7456,square_offs
HINDUNILVR,2018-01-08,1356.55,1348.6,loser,1341.857,1380.9664,square_offs
MARUTI,2018-01-08,9433.85,9488,gainer,9535.439999999999,9260.288,square_offs
KOTAKBANK,2018-01-08,1003.05,1008.85,gainer,1013.8942499999999,984.6376,square_offs
CIPLA,2018-01-08,615.15,618.5,gainer,621.5925,603.656,success
UPL,2018-01-08,774.2,778.25,gainer,782.1412499999999,759.572,success
SBIN,2018-01-09,305.8,307.5,gainer,309.03749999999997,300.12,success
VEDL,2018-01-09,340.25,342.25,gainer,343.96124999999995,334.036,square_offs
ONGC,2018-01-09,197.4,198.5,gainer,199.49249999999998,193.736,square_offs
HINDALCO,2018-01-09,276.15,277.55,gainer,278.93775,270.8888,failure
ASIANPAINT,2018-01-10,1193.05,1186,loser,1180.07,1214.464,success
INFY,2018-01-10,1041.35,1046.8,gainer,1052.0339999999999,1021.6768,success
